"municipality,""yyyymm"",""Prob_ZINBASE"""
"Arcoverde,""202003"",0.0146"
"Arcoverde,""202004"",0"
"Arcoverde,""202005"",0.0006"
"Arcoverde,""202006"",0.0005"
"Arcoverde,""202007"",0.0004"
"Arcoverde,""202008"",0.0013"
"Arcoverde,""202009"",0.0188"
"Arcoverde,""202010"",0.066"
"Arcoverde,""202011"",0.0253"
"Arcoverde,""202012"",0.0066"
"Arcoverde,""202101"",0.0221"
"Arcoverde,""202102"",0.0738"
"Arcoverde,""202103"",0.0113"
"Arcoverde,""202104"",0.0062"
"Arcoverde,""202105"",0.0002"
"Arcoverde,""202106"",0.0003"
"Arcoverde,""202107"",0.006"
"Arcoverde,""202108"",0.0081"
"Arcoverde,""202109"",0.0453"
"Arcoverde,""202110"",0.1333"
"Arcoverde,""202111"",0.1193"
"Arcoverde,""202112"",0.0764"
"Arcoverde,""202201"",0.0673"
"Arcoverde,""202202"",0.014"
"Arcoverde,""202203"",0.0384"
"Arcoverde,""202204"",0.0125"
"Arcoverde,""202205"",0.0041"
"Arcoverde,""202206"",0.0018"
"Arcoverde,""202207"",0.0004"
"Arcoverde,""202208"",0.0035"
"Arcoverde,""202209"",0.0283"
"Arcoverde,""202210"",0.0507"
"Arcoverde,""202211"",0.0375"
"Arcoverde,""202212"",0.0007"
"Arcoverde,""202301"",0.0534"
"Arcoverde,""202302"",0.0379"
"Arcoverde,""202303"",0.0046"
"Arcoverde,""202304"",0.0017"
"Arcoverde,""202305"",0.0007"
"Arcoverde,""202306"",0.0005"
"Barra de Guabiraba,""202102"",0.0321"
"Barra de Guabiraba,""202103"",0.05"
"Barra de Guabiraba,""202104"",0.0038"
"Barra de Guabiraba,""202105"",0.0003"
"Barra de Guabiraba,""202106"",0"
"Barra de Guabiraba,""202107"",0.0038"
"Barra de Guabiraba,""202108"",0.0006"
"Barra de Guabiraba,""202109"",0.0036"
"Barra de Guabiraba,""202110"",0.0538"
"Barra de Guabiraba,""202111"",0.1145"
"Barra de Guabiraba,""202112"",0.0926"
"Barra de Guabiraba,""202201"",0.0122"
"Barra de Guabiraba,""202202"",0.0359"
"Barra de Guabiraba,""202203"",0.0161"
"Barra de Guabiraba,""202204"",0.0008"
"Barra de Guabiraba,""202205"",0.0046"
"Barra de Guabiraba,""202206"",0"
"Barra de Guabiraba,""202207"",0.0001"
"Barra de Guabiraba,""202208"",0"
"Barra de Guabiraba,""202209"",0.0013"
"Barra de Guabiraba,""202210"",0.0182"
"Barra de Guabiraba,""202211"",0.021"
"Barra de Guabiraba,""202212"",0.0113"
"Barra de Guabiraba,""202301"",0.002"
"Barra de Guabiraba,""202302"",0.0117"
"Barra de Guabiraba,""202303"",0.0025"
"Barra de Guabiraba,""202304"",0.0011"
"Barra de Guabiraba,""202305"",0.0003"
"Barra de Guabiraba,""202306"",0.0001"
"Belém do São Francisco,""202002"",0.043"
"Belém do São Francisco,""202003"",0.0038"
"Belém do São Francisco,""202004"",0.0057"
"Belém do São Francisco,""202005"",0.0131"
"Belém do São Francisco,""202006"",0.035"
"Belém do São Francisco,""202007"",0.0529"
"Belém do São Francisco,""202008"",0.0791"
"Belém do São Francisco,""202009"",0.1927"
"Belém do São Francisco,""202010"",0.4408"
"Belém do São Francisco,""202011"",0.072"
"Belém do São Francisco,""202012"",0.0069"
"Belém do São Francisco,""202101"",0.2148"
"Belém do São Francisco,""202102"",0.1211"
"Belém do São Francisco,""202103"",0.0738"
"Belém do São Francisco,""202104"",0.0994"
"Belém do São Francisco,""202105"",0.0176"
"Belém do São Francisco,""202106"",0.0239"
"Belém do São Francisco,""202107"",0.1947"
"Belém do São Francisco,""202108"",0.1221"
"Belém do São Francisco,""202109"",0.5166"
"Belém do São Francisco,""202110"",0.4668"
"Belém do São Francisco,""202111"",0.1982"
"Belém do São Francisco,""202112"",0.1234"
"Belém do São Francisco,""202201"",0.0523"
"Belém do São Francisco,""202202"",0.1212"
"Belém do São Francisco,""202203"",0.061"
"Belém do São Francisco,""202204"",0.0422"
"Belém do São Francisco,""202205"",0.201"
"Belém do São Francisco,""202206"",0.0656"
"Belém do São Francisco,""202207"",0.0767"
"Belém do São Francisco,""202208"",0.2204"
"Belém do São Francisco,""202209"",0.3639"
"Belém do São Francisco,""202210"",0.277"
"Belém do São Francisco,""202211"",0.2749"
"Belém do São Francisco,""202212"",0.0194"
"Belém do São Francisco,""202301"",0.0376"
"Belém do São Francisco,""202302"",0.2501"
"Belém do São Francisco,""202303"",0.0832"
"Belém do São Francisco,""202304"",0.0043"
"Belém do São Francisco,""202305"",0.0313"
"Belém do São Francisco,""202306"",0.0183"
"Belo Jardim,""202002"",0.0303"
"Belo Jardim,""202003"",0.0067"
"Belo Jardim,""202004"",0"
"Belo Jardim,""202005"",0.0003"
"Belo Jardim,""202006"",0.0013"
"Belo Jardim,""202007"",0.0006"
"Belo Jardim,""202008"",0.0013"
"Belo Jardim,""202009"",0.0022"
"Belo Jardim,""202010"",0.0457"
"Belo Jardim,""202011"",0.0828"
"Belo Jardim,""202012"",0.0125"
"Belo Jardim,""202201"",0.0638"
"Belo Jardim,""202202"",0.0296"
"Belo Jardim,""202203"",0.0579"
"Belo Jardim,""202204"",0.0068"
"Belo Jardim,""202205"",0.0097"
"Belo Jardim,""202206"",0.002"
"Belo Jardim,""202207"",0.0003"
"Belo Jardim,""202208"",0.0009"
"Belo Jardim,""202209"",0.0023"
"Belo Jardim,""202210"",0.04"
"Belo Jardim,""202211"",0.0445"
"Belo Jardim,""202212"",0.0005"
"Belo Jardim,""202301"",0.0214"
"Belo Jardim,""202302"",0.0264"
"Belo Jardim,""202303"",0.0064"
"Belo Jardim,""202304"",0.0049"
"Belo Jardim,""202305"",0.0008"
"Belo Jardim,""202306"",0.0002"
"Betânia,""202202"",0.089"
"Betânia,""202203"",0.3472"
"Betânia,""202204"",0.204"
"Betânia,""202205"",0.3574"
"Betânia,""202206"",0.2425"
"Betânia,""202207"",0.3604"
"Betânia,""202208"",0.5521"
"Betânia,""202209"",0.7633"
"Betânia,""202210"",0.5839"
"Betânia,""202211"",0.1229"
"Betânia,""202212"",0.1556"
"Betânia,""202301"",0.1773"
"Betânia,""202302"",0.3845"
"Betânia,""202303"",0.2459"
"Betânia,""202304"",0.034"
"Betânia,""202305"",0.0272"
"Betânia,""202306"",0.0463"
"Bezerros,""202002"",0.0496"
"Bezerros,""202003"",0.0101"
"Bezerros,""202004"",0.0001"
"Bezerros,""202005"",0.0009"
"Bezerros,""202006"",0.0025"
"Bezerros,""202007"",0.0002"
"Bezerros,""202008"",0.0048"
"Bezerros,""202009"",0.0161"
"Bezerros,""202010"",0.0792"
"Bezerros,""202011"",0.1502"
"Bezerros,""202012"",0.0672"
"Bodocó,""202002"",0.1555"
"Bodocó,""202003"",0.0011"
"Bodocó,""202004"",0.0303"
"Bodocó,""202005"",0.0334"
"Bodocó,""202006"",0.0436"
"Bodocó,""202007"",0.1255"
"Bodocó,""202008"",0.212"
"Bodocó,""202009"",0.451"
"Bodocó,""202010"",0.5064"
"Bodocó,""202011"",0.3617"
"Bodocó,""202012"",0.1479"
"Bom Jardim,""202002"",0.1801"
"Bom Jardim,""202003"",0.0568"
"Bom Jardim,""202004"",0.0062"
"Bom Jardim,""202005"",0.0091"
"Bom Jardim,""202006"",0.0021"
"Bom Jardim,""202007"",0"
